11536	City Services - DYN Regroup for Lost or Stolen Radios
12528	San Diego Community College District - Police Dispatch 1
12560	San Diego Community College District - Police Dispatch 2
12624	San Diego Community College District - Police Tactical 1
12656	San Diego Community College District - Police Tactical 2
12688	San Diego Community College District - Police Tactical 3
13040	Police - Parking Enforcement Dispatch
15568	Police - Events Tac 1
15600	Police - Events Tac 2
15632	Police - Events Tac 3
15664	Police - Events Tac 4
15696	Police - Events Tac 5
15728	Police - Events Tac 6
15760	Police - Events Tac 7
15888	Police - Event Dispatch 1
15920	Police - Event Dispatch 2
16144	City Services - Communications  Electronics 1
16176	City Services - Communications  Electronics 2
16208	City Services - Communications  Electronics 3
16240	City Services - Communications  Electronics 4
19280	Lifeguard - Dispatch 2
19312	Lifeguard - Dispatch 3
19344	Lifeguard - Inquiry
19408	Lifeguard - Tac 1
19472	Lifeguard - Tac 2
19536	Lifeguard - Tac 3
19600	Lifeguard - Tac 4
19664	Lifeguard - Tac 5
19728	Lifeguard - Tac 6
19792	Lifeguard - Tac 7
19824	Lifeguard - Tac 8 
19856	Lifeguard - River Command
19920	Lifeguard - River Tac
19984	Lifeguard - Admin
20080	Lifeguard - Dispatch 2 Tac
20112	Lifeguard - Dispatch 3 Tac
20176	Lifeguard - Special 1
20208	Lifeguard - Special 2
20272	Lifeguard - Junior Guards Ops
20304	Lifeguard - Junior Guards Tac
20336	Lifeguard - Training 1
20368	Lifeguard - Training 2
20496	Parks and Recreation - Tactical 2  Penasquitos Black Mtn Otay Valley
20528	Parks and Recreation - Tactical 3  Mission Trails Cowles Mtn
20624	Parks and Recreation - Tactical 4  Mission Bay Park Shoreline Parks
20720	Parks and Recreation - Tactical 5  Balboa Park Chollas Lake
20752	City Services - Parks Beach Maintenance
20784	City Services - Mount Hope Cemetery
20816	Parks and Recreation - Tactical 1  Tecolote Cyn Marian Bear Mission Vly Preserve Rose Cyn
20912	City Services - Station 38 Calling  Dispatch for Misc Public Works Depts
20944	City Services - Public Works After Hours City Dispatch  Station 38 Evenings Nights Weekends
20976	City Services - Water Dispatch
21104	City Services - Water
21136	City Services - Water
21168	City Services - Water
21200	City Services - Water
21232	City Services - Water
21264	City Services - Water
21296	City Services - Water
21328	City Services - Water
21392	City Services - Water
21488	City Services - Water
21520	City Services - Water
22416	City Services - Radio Shop
22480	City Services - Public Works
23184	City Services - Public Works
23216	City Services - Maintenance
23472	City Services - Maintenance
23504	City Services - Public Works
23536	City Services - Public Works  Storm Water
23760	City Services - Wastewater  South Bay Water Reclamation Plant
23856	City Services - Water 1E
24080	City Services - Water 2D
24144	City Services - Public Works Maintenance 2B
24368	City Services - Public Works Maintenance 2C
24624	City Services - Water  Alvarado Water Treatment Plant
25104	Parks and Recreation - Park Rangers  Reservoir Lakes
25168	Parks and Recreation - Park Rangers
25680	FireEMS - UCSD Hospital
25744	FireEMS - Sharp Hospital
25808	FireEMS - Mercy Hospital
25872	FireEMS - Scripps Memorial Hospital Chula Vista
25936	FireEMS - Scripps Hospital La Jolla
26000	FireEMS - Grossmont Hospital
26064	FireEMS - Palomar Hospital
27216	City Services - Building Inspection A
27312	City Services - Building Inspection B
27344	City Services - Building Inspection C
27408	City Services - Building Inspection D
27536	City Services - Code Enforcement 1A
27568	City Services - Code Enforcement 1B
27600	City Services - Code Enforcement 1C
27664	City Services - Code Enforcement 1D
28016	City Services - Public Works
28048	City Services - Public Works
32656	City Services - Land Fill 1 Miramar Landfill
32688	City Services - Land Fill 2 Miramar Landfill
33136	City Services - SDCCU Stadium Security
46416	Police - Inquiry Encrypted
46576	Police - Northern Tac Encrypted
46608	Police - Northeast Tac Encrypted
46640	Police - Eastern Tac Encrypted
46672	Police - Southeast Tac Encrypted
46704	Police - Central Tac Encrypted
46736	Police - Western Tac Encrypted
46768	Police - Southern Tac Encrypted
46800	Police - Mid City Tac Encrypted
46832	Police - Northwest Tac Encrypted
48144	Police - Investigations Tac Calling
48176	Police - INV Tac 1
48208	Police - INV Tac 2
48240	Police - INV Tac 3
48272	Police - INV Tac 4
48304	Police - INV Tac 5
48336	Police - INV Tac 6
48368	Police - INV Tac 7
48400	Police - INV Tac 8
48432	Police - INV Tac 9
48464	Police - INV Tac 10
48496	Police - INV Tac 11
48528	Police - INV Tac 12
48560	Police - INV Tac 13
49200	Police - Gang Task Force 3D
49232	Police - Gang Task Force 4D
49264	Police - Gang Task Force 5D
49296	Police - Gang Task Force 6D
49360	Police - Narcotics 4D
49392	Police - Narcotics 5D
49424	Police - Narcotics 6D
49456	Police - Narcotics 7D
49488	Police - Narcotics 8D
49520	Police - Narcotics Task Force 2D
49648	Police - SWAT 2D
49712	Police - Criminal Intelligence Unit 2D Encrypted
49776	Police - Robbery 3D
49808	Police - Robbery 4D
49872	Police - Vice 3D
49968	Police - Vice 4D
49984	Police - INV Tac 14D
50000	Police - INV Tac 15D
50032	Police - INV Tac 16D
50064	Police - INV Tac 17D
50096	Police - INV Tac 18D
50256	Police - INV Tac 23D
